name,rating,jersey,team,position,birthday,height,weight,salary,country
Kawhi Leonard,97,2,Clippers,Forward,6/29/91,6-7,225,32742000,United States
LeBron James,97,23,Lakers,Forward,12/30/84,6-9,250,37436858,United States
Giannis Antetokounmpo,96,34,Bucks,"Forward,Guard",12/06/94,6-11,242,25842697,Greece
Kevin Durant,96,7,Nets,Forward,9/29/88,6-10,230,37199000,United States
James Harden,96,13,Rockets,Guard,8/26/89,6-5,220,38199000,United States
Stephen Curry,95,30,Warriors,Guard,3/14/88,6-3,185,40231758,United States
Anthony Davis,94,3,Lakers,"Forward,Center",3/11/93,6-10,222,27093019,United States
Paul George,93,13,Clippers,Forward,5/02/90,6-8,210,33005556,United States
Damian Lillard,92,0,Trail Blazers,Guard,7/15/90,6-2,195,29802321,United States
Kyrie Irving,91,11,Nets,Guard,3/23/92,6-2,180,31742000,Australia
Joel Embiid,91,21,76ers,Center,3/16/94,7-1,250,27504630,Cameroon
Nikola Jokic,90,15,Nuggets,Center,2/19/95,7-1,253,27504630,Serbia
Russell Westbrook,90,0,Rockets,Guard,11/12/88,6-3,190,38506482,United States
Karl-Anthony Towns,89,32,Timberwolves,"Forward,Center",11/15/95,6-11,248,27285000,United States
Klay Thompson,89,11,Warriors,Guard,2/08/90,6-6,205,32742000,United States
Rudy Gobert,88,27,Jazz,Center,6/26/92,7-1,238,25258427,France
Kemba Walker,88,8,Celtics,Guard,5/08/90,6-1,172,32742000,United States
Donovan Mitchell,88,45,Jazz,Guard,9/07/96,6-1,211,3635760,United States
Jimmy Butler,88,22,Heat,Guard,9/14/89,6-7,220,32742000,United States
Blake Griffin,88,23,Pistons,Forward,3/16/89,6-9,252,34449964,United States
Ben Simmons,87,25,76ers,Forward,7/20/96,6-10,240,8113929,Australia
Pascal Siakam,87,43,Raptors,Forward,4/02/94,6-9,227,2351838,Cameroon
Kristaps Porzingis,87,6,Mavericks,"Forward,Center",8/02/95,7-3,220,27285000,Latvia
Luka Doncic,87,77,Mavericks,"Guard,Forward",2/28/99,6-7,227,7683360,Slovenia
Mike Conley,87,10,Jazz,Guard,10/11/87,6-1,185,32511623,United States
LaMarcus Aldridge,87,12,Spurs,"Forward, Center",7/19/85,6-11,246,26000000,United States
Bradley Beal,87,3,Wizards,Guard,6/28/93,6-3,207,27093018,United States
CJ McCollum,87,3,Trail Blazers,Guard,9/19/91,6-3,197,27556959,United States
Victor Oladipo,87,4,Pacers,Guard,5/04/92,6-4,213,21000000,United States
D'Angelo Russell,87,0,Timberwolves,Guard,2/23/96,6-4,193,27285000,United States
DeMar DeRozan,87,10,Spurs,"Guard,Forward",8/07/89,6-6,220,27739975,United States
Nikola Vucevic,86,9,Magic,Center,10/24/90,6-11,240,28000000,Montenegro
DeMarcus Cousins,86,0,,Center,8/13/90,6-10,270,3500000,United States
Andre Drummond,86,0,Cavaliers,Center,8/10/93,6-10,270,27093018,United States
De'Aaron Fox,86,5,Kings,Guard,12/20/97,6-3,171,6392760,United States
Jrue Holiday,86,11,Pelicans,Guard,6/12/90,6-3,180,26131111,United States
John Wall,86,2,Wizards,Guard,9/06/90,6-4,195,38199000,United States
Devin Booker,86,1,Suns,Guard,10/30/96,6-5,206,27285000,United States
Draymond Green,86,23,Warriors,Forward,3/04/90,6-6,230,18539130,United States
